area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId,createByUser,productType
80 m²,"4,8 tỷ",5 m,,,,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,38330108,0,5,True,False,283,SG,71,135,2638,227,,
5.600 m²,"27,5 triệu/m²",60 m,8 m,,,,,,Sổ đỏ/ Sổ hồng,,09/10/2023,08/11/2023,Sale,LDP,32500881,0,5,False,False,283,SG,71,136,2842,227,,
42 m²,"2,85 tỷ","4,2 m",10 m,2 tầng,Nam,Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16/10/2023,26/10/2023,Sale,LDP,38315764,0,5,False,False,41,SG,71,138,7158,227,,
84 m²,6 tỷ,6 m,8 m,3 tầng,,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,26/10/2023,Sale,LDP,38309577,0,5,False,False,41,SG,71,12439,1423,227,,
33 m²,"3,6 tỷ","4,1 m",,3 tầng,Nam,Nam,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,26/10/2023,Sale,LDP,38313802,0,5,False,False,41,SG,71,11915,0,227,,
92 m²,9 tỷ,,,,,,,,,,16/10/2023,26/10/2023,Sale,LDP,38329176,0,5,False,False,283,SG,71,139,2132,227,,
165 m²,9 tỷ,,,,,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,38329287,0,5,False,False,41,SG,71,134,0,227,,
230 m²,11 tỷ,8 m,10 m,,,,,,Sổ đỏ/ Sổ hồng,,10/10/2023,25/10/2023,Sale,LDP,35152839,0,5,False,False,283,SG,71,133,1433,227,,
343 m²,59 tỷ,10 m,60 m,,Tây - Bắc,,,,2 Sổ Hồng,,16/10/2023,26/10/2023,Sale,LDP,37073348,0,5,False,False,283,SG,71,133,1433,227,,
"76,7 m²","3,81 tỷ",,,2 tầng,,,2 phòng,2 phòng,,,16/10/2023,26/10/2023,Sale,LDP,38088009,0,5,False,False,41,SG,71,11845,4150,227,,
